model_id,runner,arch,language,audio_set_id,sample_count,run_count,median_elapsed_s,median_latency_per_10s,median_wer_pct,median_cer_pct,peak_rss_mb
t-one,tone,NAR (CTC),en,live,10,10,2.0377,1.1083,100.0,90.35,673.1
t-one,tone,NAR (CTC),ru,elevenlabs_rachel_mixed,10,10,0.9659,0.7028,22.23,18.37,2988.6
t-one,tone,NAR (CTC),ru,live,10,10,3.7643,3.157,30.62,20.78,2880.1
t-one,tone,NAR (CTC),ru,silero_v4_ru_xenia_48k,10,10,0.8538,0.8407,22.97,20.42,1887.8
transformers-moonshine-base,transformers,NAR,all,elevenlabs_rachel_mixed,20,20,3.2736,2.6597,79.29,49.34,1071.3
transformers-moonshine-base,transformers,NAR,all,live,20,20,3.5602,2.8264,79.29,49.34,1535.0
transformers-moonshine-base,transformers,NAR,en,elevenlabs_rachel_mixed,10,10,2.8889,2.0694,6.44,3.38,989.0
transformers-moonshine-base,transformers,NAR,en,live,10,10,3.2741,2.5719,6.44,3.38,1030.1
transformers-moonshine-base,transformers,NAR,ru,elevenlabs_rachel_mixed,10,10,10.3465,6.3273,224.29,182.31,1071.3
transformers-moonshine-base,transformers,NAR,ru,live,10,10,10.0081,6.9369,224.29,182.31,1535.0
